radius	csound	density	pressure	Gamma_1	temperature
9.9925150E-001	1.0352244E+006	7.7588703E-007	6.9829258E+005	1.1907759E+000	1.2128284E+004
9.9924180E-001	1.0375861E+006	7.8845265E-007	7.1285962E+005	1.1907480E+000	1.2165912E+004
9.9923200E-001	1.0399520E+006	8.0124861E-007	7.2774941E+005	1.1907265E+000	1.2203500E+004
9.9922210E-001	1.0423217E+006	8.1428000E-007	7.4296946E+005	1.1907109E+000	1.2241051E+004
9.9921220E-001	1.0446953E+006	8.2755079E-007	7.5852665E+005	1.1907020E+000	1.2278567E+004
9.9920220E-001	1.0470730E+006	8.4106510E-007	7.7442849E+005	1.1906997E+000	1.2316051E+004
9.9919220E-001	1.0494545E+006	8.5482815E-007	7.9068229E+005	1.1907046E+000	1.2353505E+004
9.9918210E-001	1.0518393E+006	8.6884481E-007	8.0729552E+005	1.1907167E+000	1.2390931E+004
9.9917190E-001	1.0542270E+006	8.8312064E-007	8.2427590E+005	1.1907365E+000	1.2428333E+004
9.9916170E-001	1.0566172E+006	8.9766110E-007	8.4163145E+005	1.1907643E+000	1.2465714E+004
9.9915150E-001	1.0590089E+006	9.1247239E-007	8.5936972E+005	1.1908002E+000	1.2503077E+004
9.9914110E-001	1.0614014E+006	9.2756040E-007	8.7749976E+005	1.1908431E+000	1.2540424E+004
9.9913080E-001	1.0637934E+006	9.4293208E-007	8.9602929E+005	1.1908932E+000	1.2577760E+004
9.9912030E-001	1.0661833E+006	9.5859565E-007	9.1496679E+005	1.1909509E+000	1.2615085E+004
9.9910990E-001	1.0685695E+006	9.7456111E-007	9.3432101E+005	1.1910185E+000	1.2652404E+004
